Date,Competition Name,Home team,Opponent,Away team,Minute,Score Home Team - When Messi Scored,Score Away Team - When Messi Scored,Goal Type,Goal Method,Final Game Result
samedi 10 mars 2007,Liga,FC Barcelona,Real Madrid,Real Madrid,11,1,1,,Left foot,Draw
samedi 18 f�vrier 2006,Liga,FC Barcelona,Real Betis,Real Betis,85,5,1,Rebound,Left foot,Won
dimanche 15 janvier 2006,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,51,2,1,Rebound,Left foot,Won
dimanche 20 janvier 2019,Liga,FC Barcelona,Legan�s,Legan�s,90+2,3,1,Field goal,Right foot,Won
dimanche 2 septembre 2018,Liga,FC Barcelona,Huesca,Huesca,16,1,1,Field goal,Right foot,Won
samedi 9 septembre 2017,Liga,FC Barcelona,Espanyol,Espanyol,35,2,0,Field goal,Right foot,Won
dimanche 21 mai 2017,Liga,FC Barcelona,Eibar,Eibar,90+2,4,2,Solo run,Right foot,Won
mercredi 5 avril 2017,Liga,FC Barcelona,Sevilla,Sevilla,28,2,0,Field goal,Right foot,Won
dimanche 19 mars 2017,Liga,FC Barcelona,Valencia,Valencia,53,3,2,Field goal,Right foot,Won
mercredi 1 mars 2017,Liga,FC Barcelona,Sporting Gij�n,Sporting Gij�n,9,1,0,Field goal,Head,Won
dimanche 19 f�vrier 2017,Liga,FC Barcelona,Legan�s,Legan�s,4,1,0,Field goal,Right foot,Won
samedi 14 janvier 2017,Liga,FC Barcelona,Las Palmas,Las Palmas,52,2,0,Rebound,Right foot,Won
samedi 23 avril 2016,Liga,FC Barcelona,Sporting Gij�n,Sporting Gij�n,12,1,0,Rebound,Head,Won
dimanche 17 avril 2016,Liga,FC Barcelona,Valencia,Valencia,63,1,2,Field goal,Right foot,Lost
mercredi 30 d�cembre 2015,Liga,FC Barcelona,Real Betis,Real Betis,33,2,0,Field goal,Right foot,Won
samedi 23 mai 2015,Liga,FC Barcelona,Deportivo La Coru�a,Deportivo La Coru�a,59,2,0,,Right foot,Draw
samedi 23 mai 2015,Liga,FC Barcelona,Deportivo La Coru�a,Deportivo La Coru�a,5,1,0,,Head,Draw
dimanche 15 f�vrier 2015,Liga,FC Barcelona,Levante,Levante,59,3,0,,Right foot,Won
dimanche 15 f�vrier 2015,Liga,FC Barcelona,Levante,Levante,38,2,0,,Right foot,Won
dimanche 1 f�vrier 2015,Liga,FC Barcelona,Villarreal,Villarreal,55,3,2,,Right foot,Won
samedi 20 d�cembre 2014,Liga,FC Barcelona,C�rdoba,C�rdoba,90+1,5,0,,Right foot,Won
samedi 20 d�cembre 2014,Liga,FC Barcelona,C�rdoba,C�rdoba,82,4,0,,Right foot,Won
dimanche 7 d�cembre 2014,Liga,FC Barcelona,Espanyol,Espanyol,81,5,1,,Right foot,Won
dimanche 7 d�cembre 2014,Liga,FC Barcelona,Espanyol,Espanyol,50,2,1,,Right foot,Won
samedi 22 novembre 2014,Liga,FC Barcelona,Sevilla,Sevilla,72,4,1,,Right foot,Won
samedi 27 septembre 2014,Liga,FC Barcelona,Granada,Granada,82,6,0,,Right foot,Won
samedi 27 septembre 2014,Liga,FC Barcelona,Granada,Granada,62,4,0,,Head,Won
samedi 5 avril 2014,Liga,FC Barcelona,Real Betis,Real Betis,86,3,1,Rebound,Right foot,Won
mercredi 26 mars 2014,Liga,FC Barcelona,Celta de Vigo,Celta de Vigo,30,2,0,,Right foot,Won
dimanche 16 mars 2014,Liga,FC Barcelona,Osasuna,Osasuna,88,6,0,,Right foot,Won
mardi 24 septembre 2013,Liga,FC Barcelona,Real Sociedad,Real Sociedad,8,2,0,,Head,Won
dimanche 27 janvier 2013,Liga,FC Barcelona,Osasuna,Osasuna,11,1,0,,Right foot,Won
samedi 1 d�cembre 2012,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,70,5,1,,Right foot,Won
samedi 19 novembre 2011,Liga,FC Barcelona,Real Zaragoza,Real Zaragoza,43,2,0,,Right foot,Won
samedi 29 octobre 2011,Liga,FC Barcelona,Real Mallorca,Real Mallorca,21,2,0,,Right foot,Won
samedi 15 octobre 2011,Liga,FC Barcelona,Racing Santander,Racing Santander,68,3,0,,Right foot,Won
samedi 15 octobre 2011,Liga,FC Barcelona,Racing Santander,Racing Santander,11,1,0,,Right foot,Won
lundi 29 ao�t 2011,Liga,FC Barcelona,Villarreal,Villarreal,52,4,0,,Right foot,Won
samedi 23 avril 2011,Liga,FC Barcelona,Osasuna,Osasuna,87,2,0,,Right foot,Won
dimanche 20 f�vrier 2011,Liga,FC Barcelona,Athletic de Bilbao,Athletic de Bilbao,78,2,1,,Right foot,Won
samedi 13 novembre 2010,Liga,FC Barcelona,Villarreal,Villarreal,58,2,1,,Right foot,Won
dimanche 16 mai 2010,Liga,FC Barcelona,Real Valladolid,Real Valladolid,62,3,0,,Right foot,Won
mardi 4 mai 2010,Liga,FC Barcelona,Tenerife,Tenerife,90+3,4,1,,Right foot,Won
mardi 4 mai 2010,Liga,FC Barcelona,Tenerife,Tenerife,17,1,0,,Right foot,Won
dimanche 14 mars 2010,Liga,FC Barcelona,Valencia,Valencia,83,3,0,,Right foot,Won
samedi 27 f�vrier 2010,Liga,FC Barcelona,M�laga,M�laga,84,2,1,Field goal,Right foot,Won
samedi 19 septembre 2009,Liga,FC Barcelona,Atl�tico Madrid,Atl�tico Madrid,90+4,5,2,,Right foot,Won
dimanche 22 mars 2009,Liga,FC Barcelona,M�laga,M�laga,25,2,0,,Right foot,Won
samedi 24 janvier 2009,Liga,FC Barcelona,Numancia,Numancia,76,4,1,Rebound,Right foot,Won
samedi 9 juin 2007,Liga,FC Barcelona,Espanyol,Espanyol,57,2,1,,Right foot,Draw
samedi 9 juin 2007,Liga,FC Barcelona,Espanyol,Espanyol,43,1,1,,Hand,Draw
dimanche 15 octobre 2006,Liga,FC Barcelona,Sevilla,Sevilla,81,3,1,,Right foot,Won
mardi 18 septembre 2018,Champions League,FC Barcelona,PSV Eindhoven,PSV Eindhoven,87,4,0,Field goal,Right foot,Won
mercredi 14 mars 2018,Champions League,FC Barcelona,Chelsea,Chelsea,3,1,0,Field goal,Right foot,Won
mercredi 17 ao�t 2016,,FC Barcelona,Sevilla,Sevilla,55,3,0,Field goal,Head,Won
mercredi 6 mai 2015,Champions League,FC Barcelona,Bayern M�nchen,Bayern M�nchen,80,2,0,,Right foot,Won
mercredi 10 d�cembre 2014,Champions League,FC Barcelona,Paris Saint-Germain,Paris Saint-Germain,19,1,1,,Right foot,Won
mercredi 19 septembre 2012,Champions League,FC Barcelona,Spartak Moscow,Spartak Moscow,80,3,2,,Head,Won
mercredi 7 mars 2012,Champions League,FC Barcelona,Bayer Leverkusen,Bayer Leverkusen,49,3,0,,Right foot,Won
mercredi 4 janvier 2012,,FC Barcelona,Osasuna,Osasuna,73,3,0,,Head,Won
mercredi 17 ao�t 2011,,FC Barcelona,Real Madrid,Real Madrid,45,2,1,Field goal,Right foot,Won
